Consommation energetique Departement (Mwh),Population departement
2891319.01883519,657856
1702963.53871068,335628
1217428.49275143,329325
495939.380564615,144379
2135852.75461967,517709
4967843.47663757,1277513
3350044.04345225,768508
897933.468318908,227489
2941900.08372776,661852
7947973.53435746,1883437
1937821.3416977,439750
3831218.25326205,835206
2508521.51090607,535078
2174554.01702387,545209
1049056.52067639,258798
997304.988312263,202670
852904.882604069,234601
2874370.57020251,551063
1675096.31683306,334156
652172.837727769,140120
2420068.04796883,603640
3661111.74601963,917179
4233903.24990171,1088855
3181934.1496615,764161
1503426.58842278,300933
2066832.382394,431443
1005132.5796519,218707
2693116.8682034,612119
1552564.29389354,329357
3269821.5300338,682304
513423.7,160814
527292.959,182887
1351958.36272407,269701
1403102.76446547,311435
2593417.8703133,566659
722462.894424155,171798
4090037.24804488,732590
820819.764468888,183001
6104495.2558091,1049155
4526500.71711707,1148073
3637943.05835565,767842
1692251.54768628,362397
2408598.31016894,529374
13562256.4470141,2607746
3615968.31288652,829699
7328632.4232015,1462167
2389932.62998803,568748
9079152.30877027,2145906
6683888.18453664,1428636
7105957.678,1449723
5861842.62371544,1306118
6764511.59950058,1626213
5932337.63051415,1655422
5474613.9654892,1407972
5355614.55356488,1251804
3178937.20486906,697547
2597127.4823512,599668
2093064.79898777,495093
1104214.93830272,278475
5373535.92048754,1254739
1593208.42562865,351718
2988329.7701947,655709
1054177.32737086,239190
433375.075932939,115995
1834832.38443521,412807
7459700.56611647,1636391
1775788.42560447,418122
1416816.6492416,330844
3139498.66530643,687240
1428953.91986078,374481
1710034.10691725,439332
1662805.18883957,372123
681814.3369799,153954
1512982.91963834,375217
1096548.12480446,279554
3155456.42895943,751457
5957964.61232622,1415757
744620.528166321,191819
4671595.14454274,1188973
674953.089598279,174670
198459.926851263,76633
1218781.754186,229788
1810136.05309107,482765
1611163.97936259,391066
1022217.6620467,262316
6062534.05154179,1445171
3102172.40572715,820713
1171693.91755243,306538
2450357.08228728,566993
2787220.90446691,692705
661513.085986352,165451
599638.202245104,140605
5234408.27744632,1097410
7372271.47349724,2048070
4418492.68132151,1085189
2288240.71383571,561941
722439.105,383559
609812.105,361225
320805.986,285133
1272267.915,863083
186376.3728,279696
