,Loyer m2 moyen appartement,Loyer m2 moyen maison
Ain,13.6,13.7
Aisne,11.1,10.1
Allier,10.8,9.8
Alpes de Hautes-Provence,11.7,11.4
Hautes-Alpes,12.0,12.5
Alpes-Maritimes,18.4,19.8
Ardèche,10.4,11.0
Ardennes,10.0,9.5
Ariège,9.6,9.7
Aube,11.8,10.6
Aude,11.1,10.5
Aveyron,10.2,10.3
Bouches-du-Rhône,15.9,15.8
Calvados,13.0,12.0
Cantal,9.6,9.7
Charente,10.7,9.6
Charente-Maritime,13.1,11.7
Cher,10.8,9.8
Corrèze,10.2,9.9
Corse-du-Sud,14.7,13.9
Haute-Corse,13.8,14.0
Côte-d'Or,12.2,11.6
Côtes d'Armor,10.9,10.2
Creuse,9.2,8.9
Dordogne,10.6,9.9
Doubs,11.8,12.4
Drôme,11.3,11.9
Eure,11.9,11.8
Eure-et-Loir,12.0,11.8
Finistère,11.3,11.1
Gard,12.1,11.6
Haute-Garonne,14.0,12.5
Gers,10.6,10.3
Gironde,15.5,13.3
Hérault,14.3,12.7
Ille-et-Vilaine,13.6,11.5
Indre,9.8,9.0
Indre-et-Loire,12.5,11.2
Isère,13.2,13.4
Jura,10.9,11.3
Landes,12.2,11.8
Loir-et-Cher,10.7,10.0
Loire,10.8,10.8
Haute-Loire,9.8,9.8
Loire-Atlantique,13.5,12.2
Loiret,12.1,11.5
Lot,9.9,9.9
Lot-et-Garonne,10.6,10.0
Lozère,10.4,9.7
Maine-et-Loire,12.0,10.6
Manche,10.8,10.0
Marne,12.0,11.0
Haute-Marne,9.7,9.2
Mayenne,10.0,9.0
Meurthe-et-Moselle,12.0,11.3
Meuse,9.8,9.3
Morbihan,12.8,11.8
Moselle,11.9,11.7
Nièvre,10.0,9.7
Nord,13.7,11.2
Oise,13.8,13.2
Orne,9.9,9.2
Pas-de-Calais,11.8,10.8
Puy-de-Dôme,11.6,10.7
Pyrénées-Atlantiques,13.2,12.9
Hautes-Pyrénées,10.5,10.7
Pyrénées-Orientales,11.8,11.1
Bas-Rhin,13.9,12.3
Haut-Rhin,12.4,13.3
Rhône,16.0,15.0
Haute-Saône,10.0,9.7
Saône-et-Loire,10.3,10.2
Sarthe,10.9,9.5
Savoie,13.5,13.2
Haute-Savoie,15.8,18.4
Paris,31.9,28.4
Seine-Maritime,12.3,12.0
Seine-et-Marne,16.0,16.0
Yvelines,18.4,20.1
Deux-Sèvres,10.5,9.3
Somme,12.7,10.5
Tarn,10.5,10.3
Tarn-et-Garonne,10.7,10.7
Var,14.7,15.0
Vaucluse,12.3,12.5
Vendée,12.2,11.1
Vienne,11.3,9.8
Haute-Vienne,10.8,9.6
Vosges,9.9,10.0
Yonne,11.0,10.6
Territoire-de-Belfort,11.7,12.1
Essonne,16.7,18.4
Hauts-de-Seine,25.0,28.5
Seine-Saint-Denis,20.2,20.7
Val-de-Marne,21.7,23.4
Val-d'Oise,17.6,19.4
